div,probability_bin,n,mean_predicted_probability,observed_outcome_rate,calibration_gap,sparse,predicted_ci_low,predicted_ci_high,observed_ci_low,observed_ci_high,gap_ci_low,gap_ci_high
D1,"[0.00, 0.10)",249,0.07338973077856213,0.07228915662650602,-0.0011005741520561108,False,0.0714478452780165,0.07536172327699615,0.043137254901960784,0.10526870974905615,-0.030678604256672525,0.031888560353901856
D1,"[0.10, 0.20)",938,0.1576469540438601,0.1460554371002132,-0.011591516943646879,False,0.1559670694754619,0.15913475707881544,0.1242288051428648,0.16703437005691726,-0.033223677122516275,0.009550381539225338
D1,"[0.20, 0.30)",2474,0.2537254950251405,0.26313662085691186,0.009411125831771339,False,0.2525886458455936,0.25487164076651936,0.24757644163187376,0.2782553353910449,-0.006140984636512726,0.024268257266014177
D1,"[0.30, 0.40)",957,0.34748176568171424,0.34273772204806685,-0.004744043633647388,False,0.3457649279482192,0.3491229531665992,0.3205781183623904,0.36647612586658734,-0.02636144848713064,0.018827359198182264
D1,"[0.40, 0.50)",747,0.4481732292951358,0.4203480589022758,-0.027825170392860032,False,0.44594383881285854,0.45027440467625424,0.38491564346899504,0.4573417989417989,-0.06383148563861192,0.008778833036297522
D1,"[0.50, 0.60)",444,0.5470472602800646,0.5518018018018018,0.0047545415217372655,False,0.5444145017253877,0.5495890519691903,0.5057195265596705,0.5987459713757655,-0.04181393975732883,0.05226274337711034
D1,"[0.60, 0.70)",326,0.6453198001535894,0.6809815950920245,0.03566179493843513,False,0.642294094475628,0.6483615958339934,0.6296296296296297,0.732360949330227,-0.015013239429268407,0.08760242962940872
D1,"[0.70, 0.80)",191,0.7493761507654761,0.7643979057591623,0.015021754993686187,True,0.7456481000796253,0.7535352898616006,0.7021276595744681,0.8247521266407526,-0.04637135659886351,0.07510340471031797
D1,"[0.80, 0.90)",97,0.842071018763348,0.8041237113402062,-0.037947307423141785,True,0.8373536154555541,0.8469525678426798,0.7254901960784313,0.8795208612226684,-0.1143678569962132,0.037250111038067295
D1,"[0.90, 1.00]",3,0.9119384597544112,1.0,0.08806154024558877,True,0.9052380773314583,0.924822886041101,1.0,1.0,0.07517711395889903,0.09476192266854166
E0,"[0.00, 0.10)",310,0.07329597452110702,0.06451612903225806,-0.008779845488848956,False,0.07145082935048806,0.0751725619186014,0.03891925105013853,0.09259736540664372,-0.03470613883507494,0.019068996203440026
E0,"[0.10, 0.20)",1301,0.15728347390941327,0.15603382013835512,-0.0012496537710581512,False,0.15606405978262278,0.1586014348466751,0.13685826781951954,0.17660272369665886,-0.02034204640059312,0.01905289723058101
E0,"[0.20, 0.30)",2996,0.25551184851463354,0.2546728971962617,-0.0008389513183718611,False,0.25447897577762246,0.2565346406724371,0.24107423805509248,0.2685568121088834,-0.01437573717246271,0.013110433405048172
E0,"[0.30, 0.40)",1103,0.3434490462861424,0.34632819582955576,0.0028791495434133396,False,0.341857513986535,0.34489025013698094,0.327400193804993,0.36563140423012613,-0.015956787400295557,0.02237342508929028
E0,"[0.40, 0.50)",829,0.44636933494752873,0.4330518697225573,-0.013317465224971403,False,0.44446304018268684,0.44824982082276743,0.4007197399253825,0.4681120620884544,-0.04547114922987703,0.02124075010982713
E0,"[0.50, 0.60)",639,0.5501911696922424,0.5571205007824727,0.006929331090230306,False,0.5480517603312555,0.552294636461545,0.5189858443477219,0.5952785692084541,-0.031157155338358618,0.04515337393291893
E0,"[0.60, 0.70)",418,0.6472417101247749,0.6650717703349283,0.01783006021015332,False,0.644503986836039,0.6498733196115157,0.621489121754333,0.7114463145266574,-0.0255155829841779,0.0644410562676047
E0,"[0.70, 0.80)",273,0.743427971790992,0.73992673992674,-0.003501231864251997,False,0.7401238143154384,0.7468547689613336,0.6857042957042957,0.7929854809437387,-0.05884180198758723,0.04931534367796208
E0,"[0.80, 0.90)",110,0.8388424166226287,0.8727272727272727,0.03388485610464398,True,0.8333975824551695,0.8444193139120677,0.8035608830146233,0.9307016046432229,-0.03513018223357567,0.09328442048349797
E0,"[0.90, 1.00]",1,0.9267790744229918,1.0,0.07322092557700821,True,0.9267790744229917,0.9267790744229918,1.0,1.0,0.07322092557700821,0.07322092557700832
F1,"[0.00, 0.10)",166,0.07632946662230773,0.07228915662650602,-0.004040309995801711,True,0.07385149856409857,0.07881749444801231,0.03259992987377279,0.11393309222423141,-0.04350342460052309,0.03692145476973018
F1,"[0.10, 0.20)",978,0.15825431109807672,0.1492842535787321,-0.008970057519344626,False,0.15687009477301078,0.1597071286764841,0.12767395637824167,0.1703651942815249,-0.03038631929207893,0.012096794668424926
F1,"[0.20, 0.30)",2738,0.25854547318258864,0.2574872169466764,-0.0010582562359122138,False,0.2575150176917303,0.25953663716379755,0.24265639164108843,0.272397088832276,-0.016062180370719645,0.013572249350731654
F1,"[0.30, 0.40)",1222,0.3401816245628444,0.33387888707037644,-0.006302737492467958,False,0.33891756862167766,0.34137695207812874,0.3171295283238543,0.3508927318715752,-0.02309961676174223,0.010960820435980933
F1,"[0.40, 0.50)",804,0.44843083183777355,0.4614427860696517,0.013011954231878176,False,0.4463839927991206,0.4504469996723943,0.42749572981366457,0.49571783858942126,-0.02100938336337461,0.047403209900474017
F1,"[0.50, 0.60)",545,0.5460919404162,0.5467889908256881,0.0006970504094880869,False,0.5436861019651906,0.5485418948729418,0.5046382189239332,0.5877083924426654,-0.04187284902684976,0.041978694084120534
F1,"[0.60, 0.70)",328,0.6471451084664692,0.6646341463414634,0.01748903787499423,False,0.64401009752981,0.6502106827221292,0.6144875776397516,0.7130768431263858,-0.03313859590437428,0.06619672939528111
F1,"[0.70, 0.80)",176,0.7397007780128221,0.75,0.01029922198717792,True,0.7355789877286475,0.743838207376337,0.6825350140056022,0.8129196282121377,-0.05773153230961275,0.07347046569399122
F1,"[0.80, 0.90)",52,0.8371351275254306,0.8653846153846154,0.028249487859184796,True,0.8309786925793896,0.8442847427662774,0.7749798387096775,0.9534973166368516,-0.06038346403126871,0.11510834991181021
F1,"[0.90, 1.00]",2,0.9083430170371882,1.0,0.09165698296281177,True,0.9045435720896573,0.9121424619847192,1.0,1.0,0.08785753801528084,0.0954564279103427
I1,"[0.00, 0.10)",228,0.0806076467486136,0.07894736842105263,-0.0016602783275609795,False,0.07866048580824196,0.08261415362792475,0.04716981132075472,0.11462586575769663,-0.03332137153091465,0.03364519070625267
I1,"[0.10, 0.20)",1274,0.1578219497128934,0.13500784929356358,-0.022814100419329825,False,0.1566342227843972,0.15908119448769714,0.11690312057610636,0.15409973550515896,-0.040791273174900014,-0.004079120742379732
I1,"[0.20, 0.30)",2910,0.2572176314469974,0.24948453608247423,-0.007733095364523157,False,0.25615237955459286,0.2582225395845931,0.23558933108465008,0.2636746120936101,-0.021668912503039352,0.0063355401020636195
I1,"[0.30, 0.40)",1381,0.33872144949030525,0.332367849384504,-0.0063536001058012714,False,0.33756998908693775,0.3398420610516262,0.3177767295597484,0.34695791422487404,-0.02084508186356209,0.00820199882987158
I1,"[0.40, 0.50)",798,0.4464146463334395,0.48370927318295737,0.03729462684951784,False,0.44451753903950575,0.4483191299246629,0.44875,0.5164563917095563,0.001892487167125337,0.07031274754762966
I1,"[0.50, 0.60)",635,0.5483060187088489,0.5700787401574803,0.021772721448631405,False,0.5460298134569282,0.5507116058899755,0.5331152651813881,0.6069651741293532,-0.01496844838839659,0.05889710025089113
I1,"[0.60, 0.70)",453,0.6472669447983145,0.6777041942604857,0.03043724946217119,False,0.6445501606711679,0.6498790208353673,0.6344965658854351,0.7196108285370098,-0.012740997776106247,0.07185532981643493
I1,"[0.70, 0.80)",255,0.7396589949860349,0.7607843137254902,0.021125318739455223,False,0.736556479870967,0.7427397254541956,0.7068207191701168,0.8110291559940549,-0.03300178801775309,0.07198776854677551
I1,"[0.80, 0.90)",46,0.8269670430638435,0.782608695652174,-0.04435834741166955,True,0.8209919944611519,0.8333205862071118,0.654508348794063,0.8947368421052632,-0.1704960583165553,0.06621169901027053
I1,"[0.90, 1.00]",0,,,,True,,,,,,
SP1,"[0.00, 0.10)",216,0.07854472272440059,0.08333333333333333,0.004788610608932736,False,0.07644162850100966,0.08060564616802127,0.047167036625971145,0.12236752295855048,-0.031090346351668175,0.04400753152481592
SP1,"[0.10, 0.20)",1138,0.15818487809760196,0.13708260105448156,-0.0211022770431204,False,0.15686431718878785,0.15953811338680177,0.11679402297647397,0.1565651354041171,-0.04125456078067381,-0.0017593335998475463
SP1,"[0.20, 0.30)",2732,0.25865909535072606,0.24597364568081992,-0.012685449669906146,False,0.257632633622239,0.25971819554063197,0.23054675958584953,0.2609660898013143,-0.027850295805151845,0.00204059334340881
SP1,"[0.30, 0.40)",1822,0.3370546340641599,0.33479692645444564,-0.0022577076097142768,False,0.3360885049149926,0.33796608655575744,0.3221118345533023,0.3477617675599142,-0.014958490876171456,0.010732089452839402
SP1,"[0.40, 0.50)",836,0.44783159876203577,0.4677033492822967,0.01987175052026091,False,0.4459124366259901,0.4496991994461001,0.4340713382357808,0.5000145180023228,-0.013006047057852046,0.05258273814186913
SP1,"[0.50, 0.60)",615,0.5476369504231292,0.5756097560975609,0.027972805674431722,False,0.545649331058751,0.5498012491825086,0.5361139344963445,0.6151399476127737,-0.01077877197548849,0.0674845551056895
SP1,"[0.60, 0.70)",363,0.6486734857721108,0.7134986225895317,0.06482513681742086,False,0.6456050520216076,0.6517188180163369,0.6656926819774232,0.7608145212936279,0.016851730304769382,0.11123453912187735
SP1,"[0.70, 0.80)",203,0.7449682264817181,0.7733990147783252,0.028430788296607057,False,0.7407968074512558,0.7491683908506489,0.7123271517187904,0.8296732522796353,-0.03210020765487066,0.08466486392391392
SP1,"[0.80, 0.90)",52,0.8340152012889258,0.8076923076923077,-0.026322893596618102,True,0.8282931970991518,0.8397304236571473,0.6935173697270473,0.9138054187192118,-0.14378286044154023,0.07930712559911432
SP1,"[0.90, 1.00]",0,,,,True,,,,,,
