season,probability_bin,n,mean_predicted_probability,observed_outcome_rate,calibration_gap,sparse,predicted_ci_low,predicted_ci_high,observed_ci_low,observed_ci_high,gap_ci_low,gap_ci_high
2019_20,"[0.00, 0.10)",198,0.07298773235038447,0.08080808080808081,0.007820348457696344,True,0.07054730089449734,0.07547305547719026,0.045713560551124,0.12149532710280374,-0.0272177686498651,0.04813365723438199
2019_20,"[0.10, 0.20)",779,0.15694112460815,0.15019255455712452,-0.006748570051025471,False,0.15528043319612486,0.15866262394550742,0.12628459645212223,0.17503713481974348,-0.03061857856788313,0.018641203743640027
2019_20,"[0.20, 0.30)",1853,0.25711637149475414,0.2504047490555855,-0.0067116224391686186,False,0.25579686784322053,0.25833615120132014,0.2336277860738958,0.26807137374491746,-0.023443202331946408,0.010786043477642514
2019_20,"[0.30, 0.40)",943,0.3402380744753128,0.35100742311770944,0.010769348642396648,False,0.338667432996791,0.34176810387446543,0.3323033651931502,0.3707098099904164,-0.008167276486516741,0.0307603328486154
2019_20,"[0.40, 0.50)",541,0.4479573467398661,0.45286506469500926,0.004907717955143165,False,0.44556898381505683,0.4503106363393405,0.4106765707891661,0.4961247763864043,-0.03672034927189077,0.04753085954966615
2019_20,"[0.50, 0.60)",379,0.5470386610080532,0.5435356200527705,-0.0035030409552827546,False,0.5441034454635648,0.5499295499629672,0.49340013797125365,0.5932722146795599,-0.05323511935768606,0.04557664166235097
2019_20,"[0.60, 0.70)",250,0.6470370829507667,0.664,0.01696291704923336,False,0.643310735341893,0.6509242602983746,0.6031701444622792,0.7257400979991834,-0.04382811941137591,0.07837874321696085
2019_20,"[0.70, 0.80)",162,0.7430177427797318,0.7592592592592593,0.01624151647952754,True,0.7389654444032421,0.747428310141007,0.6953530138062634,0.8235294117647058,-0.04845854136315703,0.07978337154973965
2019_20,"[0.80, 0.90)",67,0.8427652317135602,0.8059701492537313,-0.036795082459828876,True,0.8363774962640801,0.8495861459315331,0.7036892361111111,0.8955223880597015,-0.13852515980166955,0.05328240559798981
2019_20,"[0.90, 1.00]",3,0.9147198712463899,1.0,0.08528012875361013,True,0.9052380773314583,0.9267790744229918,1.0,1.0,0.07322092557700821,0.09476192266854166
2020_21,"[0.00, 0.10)",167,0.07854218845855397,0.11976047904191617,0.0412182905833622,True,0.0762716010711308,0.08079808701124243,0.07215938589334717,0.17160217083529963,-0.0066468490932292575,0.09285909344090666
2020_21,"[0.10, 0.20)",827,0.1569245375253087,0.1487303506650544,-0.008194186860254277,False,0.1554181675162803,0.15851324137391673,0.12453817733990148,0.17180094786729858,-0.03225979328359546,0.014834582762901448
2020_21,"[0.20, 0.30)",2030,0.2571171782953717,0.2536945812807882,-0.0034225970145834728,False,0.2557866093125949,0.2584650895472093,0.23734813461787146,0.2712539226895662,-0.019702874292250056,0.0138602966049023
2020_21,"[0.30, 0.40)",961,0.3401640878506218,0.3267429760665973,-0.013421111784024498,False,0.3388073503700331,0.34155645086769715,0.3079999012833169,0.34565315413435566,-0.032317743724831795,0.005448005905722179
2020_21,"[0.40, 0.50)",578,0.44664490721963346,0.44982698961937717,0.003182082399743713,False,0.44424901258282384,0.44907359749372255,0.40971765350877193,0.4922121903354062,-0.03692523332990001,0.04530583539005811
2020_21,"[0.50, 0.60)",415,0.5480459047628016,0.5542168674698795,0.006170962707077954,False,0.5453230711327933,0.5507614846973644,0.503756654409747,0.6034142529895946,-0.04294374713871274,0.05571517691707513
2020_21,"[0.60, 0.70)",284,0.6469761838400049,0.7253521126760564,0.07837592883605149,False,0.6435500716265073,0.6501768537955334,0.6736619582043344,0.7773728877112289,0.025549115949078223,0.13014732813879615
2020_21,"[0.70, 0.80)",169,0.7446198674036804,0.7100591715976331,-0.03456069580604726,True,0.740338747409477,0.7487942204411012,0.6444292237442922,0.7783820061672411,-0.10079962555271145,0.034472900164577866
2020_21,"[0.80, 0.90)",47,0.8314787442264888,0.8085106382978723,-0.022968105928616533,True,0.8253289675737856,0.8382020781406,0.6862605042016807,0.9138206162876008,-0.146096627496425,0.08412315596917574
2020_21,"[0.90, 1.00]",0,,,,True,,,,,,
2021_22,"[0.00, 0.10)",184,0.07487236797146721,0.09239130434782608,0.017518936376358873,True,0.07267915161319838,0.07720542020736,0.05263157894736842,0.13530682643427733,-0.022642835711457535,0.060864030297939485
2021_22,"[0.10, 0.20)",859,0.1566177809357148,0.1478463329452852,-0.008771447990429587,False,0.1551305315647535,0.15820123349972404,0.125,0.17097188266595825,-0.03142852238789782,0.01445586455597983
2021_22,"[0.20, 0.30)",2034,0.2580371784292418,0.2581120943952802,7.491596603842465e-05,False,0.2568513005520766,0.25929026424739376,0.2417943034034245,0.27447124839382436,-0.01656686930185929,0.01691627457938655
2021_22,"[0.30, 0.40)",891,0.3409504931814395,0.3400673400673401,-0.000883153114099422,False,0.3394412244536346,0.3423815827291631,0.31962025316455694,0.35891792556578106,-0.021317324626044406,0.018317778003647527
2021_22,"[0.40, 0.50)",584,0.44812928286064446,0.4452054794520548,-0.0029238034085896647,False,0.4457678328335108,0.4502052442272928,0.4064665332580352,0.48415588162920953,-0.04189000520532233,0.03609407250006291
2021_22,"[0.50, 0.60)",401,0.5484058565130133,0.5486284289276808,0.000222572414667499,False,0.5455753875852368,0.5512706128041964,0.49873368910871757,0.596742544656373,-0.04889530772717501,0.04789437295237857
2021_22,"[0.60, 0.70)",298,0.6484160200717743,0.6845637583892618,0.03614773831748741,False,0.6452754707007462,0.6515550883601048,0.6338016955234592,0.7380232355503921,-0.01444214779982517,0.08896428623489047
2021_22,"[0.70, 0.80)",165,0.7411158183791147,0.7212121212121212,-0.019903697166993473,True,0.7371132772651882,0.7453726304557398,0.6533120567375886,0.7891645529486366,-0.08724500071656696,0.04845936639708645
2021_22,"[0.80, 0.90)",61,0.8363641317633218,0.819672131147541,-0.0166920006157808,True,0.8306942751794475,0.8423922846682416,0.7221994535519125,0.9102611940298507,-0.11249400949202014,0.07325411354993039
2021_22,"[0.90, 1.00]",1,0.9057544158906746,1.0,0.09424558410932538,True,0.9057544158906746,0.9057544158906746,1.0,1.0,0.09424558410932538,0.09424558410932538
2022_23,"[0.00, 0.10)",162,0.07641643181564788,0.043209876543209874,-0.033206555272438,True,0.07395370010809363,0.07893242498859394,0.013069773363891011,0.0755813953488372,-0.06345853071028965,-0.0007902100620724886
2022_23,"[0.10, 0.20)",807,0.15956533553643218,0.1623296158612144,0.002764280324782209,False,0.15798992559470387,0.16114318693016275,0.13624425377833754,0.18863361547763,-0.023009936202580628,0.02913608282993026
2022_23,"[0.20, 0.30)",2072,0.25843431342340617,0.25,-0.00843431342340617,False,0.2572326287845878,0.2596510446438586,0.23391178740261778,0.2668365829828809,-0.02464848015938216,0.008326259985410549
2022_23,"[0.30, 0.40)",944,0.3414638671284328,0.3389830508474576,-0.0024808162809751844,False,0.3400377846895011,0.3429229181477521,0.31914601034571544,0.35759006694258494,-0.022051341188004447,0.016108439580588343
2022_23,"[0.40, 0.50)",596,0.44668404520230576,0.4563758389261745,0.009691793723868747,False,0.44464207174562553,0.44900282699228383,0.41637598986379476,0.4967848235633605,-0.030458043389160788,0.0500126786088879
2022_23,"[0.50, 0.60)",433,0.5483416786916021,0.5658198614318707,0.017478182740268577,False,0.5457613200263979,0.5510005377767332,0.5204812431544359,0.6116320495971659,-0.02797763445558252,0.06372379858359295
