probability_bin,n,mean_predicted_probability,observed_outcome_rate,calibration_gap,sparse,predicted_ci_low,predicted_ci_high,observed_ci_low,observed_ci_high,gap_ci_low,gap_ci_high
"[0.00, 0.10)",1169,0.07614259203752152,0.07356715141146279,-0.002575440626058731,False,0.07522108284265627,0.07713063445192954,0.05947242010326123,0.08904936827893994,-0.016776784684051516,0.012937939124799314
"[0.10, 0.20)",5629,0.1578168260636887,0.14460827855747024,-0.013208547506218443,False,0.15721543437611085,0.15842841110331432,0.13566946405196892,0.1529818446498179,-0.02205291993242474,-0.004711527081547486
"[0.20, 0.30)",13850,0.25677168479602264,0.25393501805054153,-0.002836666745481109,False,0.2563160829088792,0.2572614303682131,0.24745292316793133,0.26021446971807627,-0.009322450411012985,0.003460951247396109
"[0.30, 0.40)",6485,0.34062515929650306,0.3372397841171935,-0.0033853751793095355,False,0.34005608044746977,0.3412067476017325,0.32974164455713195,0.3442442554122283,-0.010864098258273589,0.0036137489630925167
"[0.40, 0.50)",4014,0.44743150824406686,0.45366218236173395,0.00623067411766709,False,0.4464883919641433,0.4483124849536154,0.43790765876089166,0.46889865010924775,-0.009486439604435863,0.021485630698052097
"[0.50, 0.60)",2878,0.5479681358286532,0.5611535788742182,0.013185443045565015,False,0.5468987498007432,0.5490140749793324,0.5425732763531411,0.5783451716151049,-0.005116154552897217,0.03025810498541824
"[0.60, 0.70)",1888,0.6471744102691422,0.6800847457627118,0.03291033549356959,False,0.6458513668465271,0.6484808594576931,0.659765443678562,0.7022806287732818,0.012568029358828971,0.05468206958573872
"[0.70, 0.80)",1098,0.7432746919149645,0.7568306010928961,0.013555909177931591,False,0.7416572991646884,0.7449129320387347,0.7308755760368664,0.7809004340692434,-0.012748113817199706,0.03777852156709961
"[0.80, 0.90)",357,0.837237691114334,0.8319327731092437,-0.005304918005090253,False,0.8345486011472139,0.8399146331290092,0.794354370497796,0.8706216888186634,-0.04305990187119163,0.033428589560093126
"[0.90, 1.00]",6,0.913213414626767,1.0,0.08678658537323303,True,0.9051654744083052,0.9219002036102343,1.0,1.0,0.07809979638976572,0.09483452559169486
