season,odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
2019_20,"[1.00, 1.50)",371,371,277,-14.299999999999997,1.2944743935309972,1.3,0.7783369000253956,0.7361227547690635,-0.03854447439353099,0.7466307277628033,0.010507972993739734,False,-0.09895944980721763,0.01716625340937264,0.7017971123510166,0.789776308250573,0.7297855412394552,0.7427675483699728,-0.03426136707116412,0.052750923331898014
2019_20,"[1.50, 2.00)",610,610,336,-34.67,1.7219672131147543,1.72,0.5846502415094021,0.5534839716823382,-0.056836065573770495,0.5508196721311476,-0.0026642995511906298,False,-0.12452580019551136,0.009339288527275837,0.5107337488578515,0.5891357233959191,0.5498507933405492,0.5570928463851313,-0.04210983156569989,0.03576376072461173
2019_20,"[2.00, 3.00)",1011,744,398,-54.519999999999996,2.436597428288823,2.4,0.41619209388900147,0.39461158243678246,-0.05392680514342235,0.3936696340257171,-0.0009419484110653742,False,-0.11292029750070147,0.0066616752297869375,0.36857779237142685,0.4192917515126124,0.3913034660400441,0.3980287728486141,-0.025383702436461403,0.024386372114144586
2019_20,"[3.00, 5.00)",2264,1435,600,-78.80999999999999,3.690569787985866,3.6,0.2754561655493069,0.2610118512684107,-0.034810070671378084,0.26501766784452296,0.004005816576112264,False,-0.09396125466971465,0.024238125925955364,0.2494441228834034,0.2809655823042362,0.2594423879314521,0.2625139978540708,-0.011403474692636927,0.019769351252756046
2019_20,"[5.00, 10.00)",739,608,99,-105.25,6.4983085250338295,6.0,0.1595277342316776,0.15097076825695988,-0.14242219215155616,0.13396481732070364,-0.01700595093625623,False,-0.28359370854383537,0.01640448332669353,0.11157519713028236,0.1576764883515451,0.14935233195209055,0.15263264804385845,-0.039117905924294386,0.0068472503228435445
2019_20,"[10.00, inf)",180,156,15,34.0,14.6,13.0,0.07525288260179623,0.07123720220716041,0.18888888888888888,0.08333333333333333,0.012096131126172915,True,-0.3772008728975942,0.8516483516483516,0.04458244869072894,0.1271731526821545,0.06884107987198956,0.07354250367037433,-0.02607971996477068,0.05514247146227305
2020_21,"[1.00, 1.50)",392,392,285,-17.56,1.3157142857142856,1.33,0.7649968870757757,0.7225338086226177,-0.044795918367346935,0.7270408163265306,0.00450700770391288,False,-0.10208780059223597,0.012809889964205226,0.6835106382978723,0.7700195214105793,0.716691499508186,0.7284602453207424,-0.03893709651473889,0.048498068579302535
2020_21,"[1.50, 2.00)",645,645,375,-6.210000000000001,1.7198294573643411,1.72,0.5852132935586103,0.5535381616840961,-0.009627906976744188,0.5813953488372093,0.02785718715311325,False,-0.0762576629333831,0.05380902245635116,0.5423993220338983,0.6177416911891985,0.5501090296844209,0.5569792089983833,-0.01066728875859083,0.0642019405317677
2020_21,"[2.00, 3.00)",1073,788,413,-76.11999999999999,2.432488350419385,2.4,0.41701059231667953,0.39481285727882715,-0.0709412861136999,0.3849021435228332,-0.00991071375599395,False,-0.12890129933116445,-0.013292540372359683,0.36054946738523097,0.4105790350444225,0.3918802552437802,0.39813392235514405,-0.03411405027392742,0.01496842752014919
2020_21,"[3.00, 5.00)",2426,1550,625,-158.43,3.7017889530090686,3.6,0.2746131532109943,0.2599014883431187,-0.0653050288540808,0.2576257213520198,-0.0022757669910989375,False,-0.11887722793614303,-0.00849279022739225,0.24317344629795296,0.27309920960454187,0.25846379470813946,0.2613653254703326,-0.016661010017794645,0.012994814593457181
2020_21,"[5.00, 10.00)",785,660,107,-113.3,6.4650318471337584,6.0,0.1603572363816991,0.15156145220069916,-0.1443312101910828,0.13630573248407643,-0.015255719716622734,False,-0.293455376344086,0.0076913360611989,0.11308200515596287,0.15923983310991421,0.1499653342375203,0.15332820658477206,-0.03854100873547895,0.007605564850392377
2020_21,"[10.00, inf)",154,143,20,90.0,13.279220779220779,12.0,0.07972948931037233,0.0753486115295811,0.5844155844155844,0.12987012987012986,0.05452151834054876,True,-0.031075681449539105,1.2685758928571427,0.07974937255995539,0.1844050684374576,0.07320934156591882,0.07761256031885788,0.004871578852365502,0.10919262750737709
2021_22,"[1.00, 1.50)",399,399,289,-21.06,1.3152130325814535,1.33,0.7655459468521447,0.7237586733936439,-0.05278195488721804,0.7243107769423559,0.0005521035487120463,False,-0.1145931472035903,0.00563124936482599,0.6780053168226517,0.767569722341932,0.7173903645034474,0.7300582218381222,-0.045843000276572635,0.04406475692793484
