source_code,season,div,source_file,n_matches,schema_columns_present,schema_complete,complete_trio_matches,valid_decimal_matches,valid_market_matches,complete_coverage_pct,valid_decimal_coverage_pct,valid_market_coverage_pct
1XB,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
B365,2019_20,D1,D7.csv,306,3,True,306,306,306,100.0,100.0,100.0
BF,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
BFD,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
BFE,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
BMGM,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
BV,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
BW,2019_20,D1,D7.csv,306,3,True,306,306,306,100.0,100.0,100.0
CL,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
IW,2019_20,D1,D7.csv,306,3,True,297,297,297,97.05882352941177,97.05882352941177,97.05882352941177
LB,2019_20,D1,D7.csv,306,0,False,0,0,0,0.0,0.0,0.0
PS,2019_20,D1,D7.csv,306,3,True,306,306,306,100.0,100.0,100.0
V,2019_20,D1,D7.csv,306,3,True,306,306,306,100.0,100.0,100.0
VC,2019_20,D1,D7.csv,306,3,True,306,306,306,100.0,100.0,100.0
WH,2019_20,D1,D7.csv,306,3,True,306,306,306,100.0,100.0,100.0
1XB,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
B365,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
BF,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
BFD,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
BFE,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
BMGM,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
BV,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
BW,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
CL,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
IW,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
LB,2019_20,E0,E6.csv,380,0,False,0,0,0,0.0,0.0,0.0
PS,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
V,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
VC,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
WH,2019_20,E0,E6.csv,380,3,True,380,380,380,100.0,100.0,100.0
1XB,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
B365,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
BF,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
BFD,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
BFE,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
BMGM,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
BV,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
BW,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
CL,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
IW,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
LB,2019_20,F1,F7.csv,279,0,False,0,0,0,0.0,0.0,0.0
PS,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
V,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
VC,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
WH,2019_20,F1,F7.csv,279,3,True,279,279,279,100.0,100.0,100.0
1XB,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
B365,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
BF,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BFD,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BFE,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BMGM,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BV,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BW,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
CL,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
IW,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
LB,2019_20,I1,I7.csv,380,0,False,0,0,0,0.0,0.0,0.0
PS,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
V,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
VC,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
WH,2019_20,I1,I7.csv,380,3,True,380,380,380,100.0,100.0,100.0
1XB,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
B365,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
BF,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BFD,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BFE,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BMGM,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BV,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
BW,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
CL,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
IW,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
LB,2019_20,SP1,SP7.csv,380,0,False,0,0,0,0.0,0.0,0.0
PS,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
V,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
VC,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
WH,2019_20,SP1,SP7.csv,380,3,True,380,380,380,100.0,100.0,100.0
1XB,2020_21,D1,D6.csv,306,0,False,0,0,0,0.0,0.0,0.0
B365,2020_21,D1,D6.csv,306,3,True,306,306,306,100.0,100.0,100.0
BF,2020_21,D1,D6.csv,306,0,False,0,0,0,0.0,0.0,0.0
BFD,2020_21,D1,D6.csv,306,0,False,0,0,0,0.0,0.0,0.0
BFE,2020_21,D1,D6.csv,306,0,False,0,0,0,0.0,0.0,0.0
