source_code,files_with_any_closing_columns,files_with_complete_closing_schema,total_matches,complete_trio_matches,valid_decimal_matches,valid_market_matches,min_group_valid_market_coverage_pct,median_group_valid_market_coverage_pct,groups_ge_95pct_valid_market,groups_100pct_valid_market,schema_file_coverage_pct,complete_match_coverage_pct,valid_decimal_coverage_pct,valid_market_coverage_pct
B365,35,35,12459,12458,12458,12458,99.73684210526316,100.0,35,34,100.0,99.99197367364957,99.99197367364957,99.99197367364957
BW,35,35,12459,11744,11744,11744,60.26315789473684,100.0,30,24,100.0,94.26117665944297,94.26117665944297,94.26117665944297
PS,35,35,12459,11605,11605,11605,48.69281045751634,100.0,30,30,100.0,93.14551729673329,93.14551729673329,93.14551729673329
WH,30,30,12459,10279,10279,10279,0.0,100.0,25,24,85.71428571428571,82.50260855606389,82.50260855606389,82.50260855606389
VC,25,25,12459,8955,8955,8955,0.0,100.0,25,25,71.42857142857143,71.87575246809536,71.87575246809536,71.87575246809536
V,25,25,12459,8951,8951,8951,0.0,100.0,25,21,71.42857142857143,71.84364716269363,71.84364716269363,71.84364716269363
IW,25,25,12459,8036,8036,8036,0.0,98.6842105263158,20,14,71.42857142857143,64.49955855205073,64.49955855205073,64.49955855205073
BFE,10,10,12459,3393,3393,3392,0.0,0.0,5,4,28.571428571428573,27.233325307006982,27.233325307006982,27.225298980656554
1XB,5,5,12459,1752,1752,1752,0.0,0.0,5,5,14.285714285714286,14.062123765952323,14.062123765952323,14.062123765952323
BF,5,5,12459,1752,1752,1752,0.0,0.0,5,5,14.285714285714286,14.062123765952323,14.062123765952323,14.062123765952323
BMGM,5,5,12459,1751,1751,1751,0.0,0.0,5,4,14.285714285714286,14.054097439601895,14.054097439601895,14.054097439601895
BFD,5,5,12459,1720,1720,1720,0.0,0.0,5,0,14.285714285714286,13.805281322738583,13.805281322738583,13.805281322738583
BV,5,5,12459,1713,1713,1713,0.0,0.0,5,0,14.285714285714286,13.749097038285576,13.749097038285576,13.749097038285576
LB,5,5,12459,1310,1310,1310,0.0,0.0,0,0,14.285714285714286,10.514487519062525,10.514487519062525,10.514487519062525
CL,5,5,12459,1228,1228,1228,0.0,0.0,0,0,14.285714285714286,9.856328758327313,9.856328758327313,9.856328758327313
