source_code,D1,E0,F1,I1,SP1
B365,100.0,100.0,99.95721009841678,100.0,100.0
BW,94.11764705882354,94.24812030075188,94.60847240051348,94.3609022556391,93.98496240601504
PS,92.67040149393091,93.60902255639098,93.45314505776636,93.15789473684211,92.78195488721805
WH,82.3529411764706,82.29323308270676,83.78262729995721,82.33082706766918,81.8796992481203
VC,71.42857142857143,71.42857142857143,73.81258023106547,71.42857142857143,71.42857142857143
V,71.42857142857143,71.42857142857143,73.72700042789901,71.35338345864662,71.42857142857143
IW,63.35200746965453,64.47368421052632,66.96619597774925,63.721804511278194,64.06015037593986
BFE,27.73109243697479,27.74436090225564,25.331621737270005,27.781954887218046,27.406015037593985
1XB,14.285714285714286,14.285714285714286,13.093709884467266,14.285714285714286,14.285714285714286
BF,14.285714285714286,14.285714285714286,13.093709884467266,14.285714285714286,14.285714285714286
BMGM,14.285714285714286,14.285714285714286,13.093709884467266,14.285714285714286,14.24812030075188
BFD,13.912231559290383,13.984962406015038,12.922550278134361,14.097744360902256,14.022556390977444
BV,13.912231559290383,13.984962406015038,12.922550278134361,13.87218045112782,13.984962406015038
LB,10.504201680672269,10.563909774436091,9.542148053059478,10.676691729323307,11.165413533834586
CL,9.943977591036415,9.774436090225564,9.157038938810441,9.887218045112782,10.451127819548873
