source_code,2019_20,2020_21,2021_22,2022_23,2023_24,2024_25,2025_26
B365,100.0,99.94523548740416,100.0,100.0,100.0,100.0,100.0
BW,100.0,100.0,100.0,100.0,97.37442922374429,61.87214611872146,99.94292237442923
PS,100.0,100.0,100.0,100.0,100.0,100.0,51.25570776255708
WH,100.0,100.0,100.0,99.94523548740416,100.0,75.62785388127854,0.0
VC,100.0,100.0,100.0,100.0,100.0,0.0,0.0
V,100.0,99.89047097480832,99.94523548740416,99.94523548740416,100.0,0.0,0.0
IW,99.47826086956522,100.0,98.95947426067907,100.0,49.14383561643836,0.0,0.0
BFE,0.0,0.0,0.0,0.0,0.0,99.94292237442923,93.66438356164383
1XB,0.0,0.0,0.0,0.0,0.0,100.0,0.0
BF,0.0,0.0,0.0,0.0,0.0,100.0,0.0
BMGM,0.0,0.0,0.0,0.0,0.0,0.0,99.94292237442923
BFD,0.0,0.0,0.0,0.0,0.0,0.0,98.17351598173516
BV,0.0,0.0,0.0,0.0,0.0,0.0,97.77397260273973
LB,0.0,0.0,0.0,0.0,0.0,0.0,74.77168949771689
CL,0.0,0.0,0.0,0.0,0.0,0.0,70.09132420091325
