season,league_code,source_file,rows,columns,schema_signature,avg_close_coverage,b365_close_coverage
2019_20,D1,D7.csv,306,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2019_20,E0,E6.csv,380,106,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|Referee|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2019_20,F1,F7.csv,279,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2019_20,I1,I7.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2019_20,SP1,SP7.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2020_21,D1,D6.csv,306,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2020_21,E0,E5.csv,380,106,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|Referee|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2020_21,F1,F6.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,0.9973684210526316
2020_21,I1,I6.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
2020_21,SP1,SP6.csv,380,105,Div|Date|Time|HomeTeam|AwayTeam|FTHG|FTAG|FTR|HTHG|HTAG|HTR|HS|AS|HST|AST|HF|AF|HC|AC|HY|AY|HR|AR|B365H|B365D|B365A|BWH|BWD|BWA|IWH|IWD|IWA|PSH|PSD|PSA|WHH|WHD|WHA|VCH|VCD|VCA|MaxH|MaxD|MaxA|AvgH|AvgD|AvgA|B365>2.5|B365<2.5|P>2.5|P<2.5|Max>2.5|Max<2.5|Avg>2.5|Avg<2.5|AHh|B365AHH|B365AHA|PAHH|PAHA|MaxAHH|MaxAHA|AvgAHH|AvgAHA|B365CH|B365CD|B365CA|BWCH|BWCD|BWCA|IWCH|IWCD|IWCA|PSCH|PSCD|PSCA|WHCH|WHCD|WHCA|VCCH|VCCD|VCCA|MaxCH|MaxCD|MaxCA|AvgCH|AvgCD|AvgCA|B365C>2.5|B365C<2.5|PC>2.5|PC<2.5|MaxC>2.5|MaxC<2.5|AvgC>2.5|AvgC<2.5|AHCh|B365CAHH|B365CAHA|PCAHH|PCAHA|MaxCAHH|MaxCAHA|AvgCAHH|AvgCAHA,1.0,1.0
